Gene	Length	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12
NM_001085552	1951	0	0	0	0	0	0	0	0	0	0	0	0
NM_001085553	1960	0	0	0	0	0	0	0	0	0	0	0	0
NM_001085553	1960	0	0	0	0	0	0	0	0	0	0	0	0
NM_001085553	1960	0	0	0	0	0	0	0	0	0	0	0	0
NM_001085554	1960	0	0	0	0	0	0	0	0	0	0	0	0
NM_001085555	1747	51	0	0	0	0	33	11	0	0	1	0	0
NM_001093749	845	0	0	0	0	0	1	0	0	0	0	0	0
NM_001093750	6489	0	24	0	0	18	0	0	0	0	0	0	89
NM_001093752	3086	2482	3897	5118	1755	1084	1481	816	1955	883	899	729	2291
NM_001093753	3068	2478	3897	5088	1758	1084	1479	816	1955	883	899	729	2288
NM_001093754	2074	0	0	0	0	0	0	0	0	0	2	0	0
NM_001093757	5182	254	399	298	63	103	171	47	144	79	25	82	130
NM_001093759	3546	578	1724	1388	335	440	433	303	683	223	295	513	366
NM_001093760	3531	581	1747	1389	337	449	434	308	693	224	297	521	370
NM_001093764	3005	251	102	682	27	137	54	69	79	37	12	54	28
NM_001093765	2954	251	102	682	27	137	54	69	79	37	12	54	28
NM_001093766	2892	251	102	682	27	137	54	69	79	37	12	54	28
NM_001093775	7198	0	0	0	0	0	1	1	0	18	0	0	0
NM_001093776	7104	0	0	0	0	0	1	1	0	17	0	0	0
NM_001093778	7189	0	0	0	0	0	1	1	0	17	0	0	0
NM_001097617	2910	84	1	0	32	0	1	0	47	2	1	10	0
NM_001097621	6918	55	103	14	62	37	2	35	321	23	1	1	17
NM_001097623	4545	69	5	3	2	45	23	0	0	0	11	0	0
NM_001097644	2925	254	135	430	63	30	6	6	56	64	29	21	115
NM_001097977	2672	0	0	0	0	0	0	0	0	0	0	0	0
NM_001097977	2672	0	0	0	0	0	0	0	0	0	0	0	0
NM_001097978	936	0	0	0	0	0	0	0	0	0	0	0	0
NM_001097978	936	0	0	0	0	0	0	0	0	0	0	0	0
NM_001097978	936	0	0	0	0	0	0	0	0	0	0	0	0
NM_001097979	2121	0	0	0	0	0	0	0	0	0	0	0	0
NM_001097979	2121	0	0	0	0	0	0	0	0	0	0	0	0
NM_001097980	1081	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098168	5544	691	85	3	174	24	8	14	39	59	8	33	2
NM_001098170	6064	0	0	1	0	0	0	0	0	0	0	0	0
NM_001098171	8263	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098172	4234	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098203	3239	0	29	0	0	0	0	0	0	13	0	0	0
NM_001098222	2815	461	943	243	326	209	36	21	592	226	74	72	67
NM_001098225	9068	62	2	4	0	0	19	0	0	23	0	25	0
NM_001098226	2448	0	1	0	0	0	11	11	0	0	0	0	0
NM_001098227	2553	570	444	1017	145	215	80	85	254	111	105	117	223
NM_001098230	4233	107	5	7	3	141	0	1	169	0	3	112	32
NM_001098231	4149	107	5	7	3	141	0	1	169	0	3	112	32
NM_001098233	1797	1	0	3	0	18	37	0	41	44	61	1	0
NM_001098237	2037	73	390	1	27	17	43	0	1	0	11	14	1
NM_001098267	1623	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098269	836	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098271	1012	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098404	2404	0	0	0	1	0	0	0	0	0	0	0	0
NM_001098425	4084	816	717	902	261	449	462	177	155	270	142	183	395
NM_001098476	2421	1620	796	1657	490	762	357	233	511	523	393	492	503
NM_001098528	5309	0	1	0	0	0	0	0	0	0	0	0	0
NM_001098636	2640	17	6	8	0	1	0	1	1	0	0	40	0
NM_001098669	707	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098723	2867	226	63	1077	17	206	32	42	33	0	9	100	6
NM_001098789	962	2	40	5	0	1	1	0	0	0	1	0	0
NM_001098799	1675	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098810	2942	706	1345	1253	726	461	497	137	430	557	311	36	500
NM_001098836	3707	417	322	461	110	76	112	98	153	110	84	63	95
NM_001098837	3686	417	322	461	110	76	112	98	153	110	84	63	95
NM_001098840	1556	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098841	1556	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098841	1556	0	0	0	0	0	0	0	0	0	0	0	0
NM_001098842	527	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099217	801	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099275	1277	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099277	4561	1	0	225	0	0	0	0	0	0	0	0	0
NM_001099288	4022	188	267	369	35	0	39	0	0	1	1	17	1
NM_001099295	392	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099296	1226	2	0	0	3	1	0	1	0	0	1	0	0
NM_001099297	5267	0	0	0	1	0	0	0	0	0	0	0	0
NM_001099298	8690	0	3	1	0	0	0	1	0	0	0	0	1
NM_001099299	3067	0	0	1	0	6	0	0	0	0	0	0	0
NM_001099301	732	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099302	2861	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099303	593	0	0	0	0	0	16	0	0	19	0	0	0
NM_001099305	627	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099306	776	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099307	2832	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099308	1854	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099308	1854	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099309	649	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099310	1390	1	0	0	0	0	0	0	0	0	0	0	0
NM_001099311	618	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099312	869	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099313	777	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099313	777	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099314	743	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099316	761	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099318	779	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099319	1120	171	1	0	1	0	63	1	0	2	19	1	0
NM_001099320	390	57	68	12	12	23	22	10	12	7	10	12	32
NM_001099321	3698	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099321	3698	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099323	2794	0	3	1	0	0	0	0	0	0	0	0	0
NM_001099324	731	63	0	0	0	1	7	0	0	0	0	1	0
NM_001099325	874	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099325	874	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099325	874	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099325	874	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099325	874	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099325	874	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099325	874	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099325	874	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099326	856	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099327	1621	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099327	1621	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099328	9805	2	1	0	0	0	0	0	0	28	0	0	0
NM_001099329	400	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099330	491	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099331	1094	411	3	133	0	0	0	21	0	0	0	0	0
NM_001099332	3090	0	0	0	1	0	1	0	0	0	0	0	0
NM_001099333	1951	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099346	396	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099347	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099347	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099347	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099347	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099347	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099347	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099347	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099347	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099347	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099347	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099347	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099347	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099348	1953	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099348	1953	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099348	1953	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099349	1628	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099349	1628	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099349	1628	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099349	1628	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099349	1628	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099349	1628	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099349	1628	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099349	1628	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099624	6543	3	37	4	28	5	23	9	2	8	6	8	15
NM_001099628	8103	155	233	79	118	146	315	3	101	62	101	77	212
NM_001099631	3140	1	0	1	0	0	0	0	0	1	0	0	0
NM_001099632	1446	79	0	0	0	18	3	0	1	0	0	16	2
NM_001099633	13774	0	0	0	0	0	0	0	0	1	0	0	0
NM_001099634	7094	3	5	7	1	1	280	0	84	6	1	22	3
NM_001099635	5992	0	0	0	0	0	0	0	0	54	14	0	0
NM_001099636	2397	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099637	6930	224	564	557	78	1	1	47	11	9	29	33	217
NM_001099641	2468	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099643	1497	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099643	1491	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099643	1491	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099644	2065	1	42	0	0	0	0	0	0	1	0	0	0
NM_001099664	606	0	0	0	14	10	0	0	1	6	0	1	0
NM_001099674	401	512	245	451	95	92	71	52	82	86	82	78	155
NM_001099675	636	232	385	231	106	134	41	80	126	77	61	52	71
NM_001099688	1711	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099738	3535	2	5	1	0	20	10	31	1	0	0	0	43
NM_001099742	437	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099774	761	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099779	2661	2	1	169	0	0	0	0	0	0	0	0	0
NM_001099785	3457	5	176	2	146	1	31	16	125	32	11	0	1
NM_001099792	2131	141	187	608	15	46	148	10	6	133	21	33	157
NM_001099793	1992	141	187	608	15	46	148	10	6	133	21	33	157
NM_001099917	575	0	0	0	0	1	31	0	0	0	0	0	0
NM_001099918	645	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099919	864	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099919	864	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099919	864	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099919	864	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099919	864	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099919	864	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099919	864	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099919	864	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099919	864	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099919	864	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099919	864	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099919	864	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099920	2022	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099920	2022	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099920	2022	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099920	2022	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099920	2022	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099920	2023	0	0	0	0	0	0	0	0	0	0	0	0
NM_001099920	2020	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100109	3286	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100110	2516	17	16	1	6	9	10	6	2	12	6	1	20
NM_001100116	3841	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100116	3841	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100177	1409	8	12	6	95	106	145	110	76	70	32	51	80
NM_001100180	1589	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100181	1914	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100182	1509	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100183	1530	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100184	1512	0	1	0	0	0	10	0	0	0	1	0	0
NM_001100185	1527	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100186	1992	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100187	2642	0	0	0	0	0	0	0	0	1	0	0	0
NM_001100394	925	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100395	6907	1	0	0	0	0	0	0	0	0	0	0	1
NM_001100415	4538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100415	4538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100415	4538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100415	4538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100415	4538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100415	4538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100416	4539	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100416	4539	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100444	2588	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100445	1129	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100446	2579	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100449	5149	257	59	96	143	185	162	16	269	3	59	19	287
NM_001100451	4921	170	23	490	74	45	94	19	14	48	40	132	60
NM_001100452	6579	2513	1055	283	130	334	540	155	546	161	34	111	124
NM_001100454	2536	0	0	0	1	0	0	0	0	5	0	0	0
NM_001100455	650	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100458	4553	3291	1386	3830	771	645	1927	544	1430	1040	612	455	614
NM_001100461	2280	2	4	4	316	23	4	1	1	238	91	22	2
NM_001100462	1538	0	0	0	0	0	0	0	0	12	0	0	0
NM_001100464	567	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100465	779	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100466	1278	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100591	8965	719	484	948	258	206	405	141	213	157	136	19	399
NM_001100596	2680	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100596	2680	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100596	2680	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100606	1411	5	84	3	19	21	42	6	37	33	11	43	27
NM_001100608	495	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100609	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100609	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100609	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100609	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100609	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100609	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100609	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100609	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100609	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100610	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100610	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100610	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100610	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100610	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100610	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100610	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100610	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100610	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100610	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100610	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100610	893	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100614	691	0	0	66	0	0	0	0	0	0	0	0	0
NM_001100616	3062	0	0	0	0	0	0	0	0	0	0	0	0
NM_001100618	696	0	0	1	0	0	1	0	0	0	0	0	0
NM_001101038	1029	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101430	541	806	502	317	131	45	21	62	252	124	100	86	102
NM_001101431	2539	7	7	3	1	0	1	0	0	1	0	1	0
NM_001101433	4375	152	60	1	172	0	18	0	37	91	27	11	62
NM_001101443	3413	0	0	0	0	17	1	14	0	1	0	23	14
NM_001101445	1693	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101450	991	3	0	0	77	0	1	0	0	0	1	0	0
NM_001101452	882	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101453	2253	0	0	1	0	0	0	0	0	0	0	0	0
NM_001101461	491	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101463	1129	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101464	1205	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101467	2226	0	0	1	0	0	0	0	0	0	0	0	0
NM_001101471	6685	1	1	0	0	0	0	0	0	0	0	1	0
NM_001101472	1998	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101475	2065	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101478	6625	292	50	252	58	83	110	19	143	69	93	7	71
NM_001101479	5218	0	91	0	0	0	81	8	5	0	0	59	0
NM_001101482	1201	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101483	1585	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101484	938	70	0	102	0	0	14	11	0	0	0	0	0
NM_001101486	1176	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101488	3924	1	0	0	0	0	0	0	0	0	0	0	0
NM_001101501	413	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101502	3171	7	4	3	1	0	0	0	0	1	0	0	0
NM_001101503	657	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101506	1378	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101507	1428	0	66	0	0	0	0	0	0	0	0	0	6
NM_001101510	3874	0	1	0	39	0	0	0	0	0	0	6	0
NM_001101516	1959	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101519	781	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101531	1302	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101533	912	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101534	964	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101535	2056	9	0	0	1	0	0	0	0	0	0	0	0
NM_001101541	993	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101546	698	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101560	660	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101561	500	18	8	12	2	7	6	6	3	2	4	1	7
NM_001101562	948	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101572	2598	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101579	924	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101584	563	1	2	2	2	2	2	1	2	2	1	0	1
NM_001101585	638	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101588	1578	6	0	0	0	0	12	0	0	0	0	0	0
NM_001101595	1039	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101597	377	17	37	41	10	4	8	5	7	8	9	6	15
NM_001101598	1085	23	6	1	1	5	2	21	11	3	0	0	2
NM_001101600	614	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101603	417	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101605	2215	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101606	569	0	0	0	1	0	0	0	0	0	0	35	2
NM_001101609	611	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101613	1043	0	0	0	0	0	0	0	0	0	0	0	1
NM_001101620	1177	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101625	2805	0	0	1	0	0	0	0	0	0	0	0	0
NM_001101628	474	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101630	692	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101631	664	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101640	1538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101644	790	8	7	1	3	1	0	4	2	2	3	2	5
NM_001101644	790	25	44	4	13	17	6	4	4	6	5	3	9
NM_001101647	261	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101656	852	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101656	852	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101657	852	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101657	852	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101804	4538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101804	4538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101804	4538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101804	4538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101804	4538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001101804	4538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102400	3800	145	118	107	1	0	0	2	1	4	60	0	4
NM_001102404	1406	4	120	4	3	1	2	0	4	37	0	0	2
NM_001102405	1411	4	120	4	3	1	2	0	4	36	0	0	2
NM_001102407	2616	1177	915	1551	490	385	202	220	510	345	195	172	329
NM_001102409	1612	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102410	1686	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102411	2299	0	0	9	0	0	0	0	8	1	0	1	0
NM_001102412	1756	0	0	2	0	0	0	0	8	1	0	1	0
NM_001102414	3602	1	0	0	0	0	0	0	0	0	0	0	0
NM_001102415	3281	1	0	0	0	0	0	0	0	0	0	0	0
NM_001102423	3724	607	22	1008	157	110	193	119	75	193	91	100	580
NM_001102424	3685	591	21	1008	157	107	190	119	75	189	88	99	580
NM_001102425	3673	591	21	1008	157	107	190	119	75	189	88	99	580
NM_001102430	7042	48	160	11	190	166	200	1	14	138	108	11	43
NM_001102436	3593	467	139	11	46	18	36	49	0	49	19	0	67
NM_001102437	3723	467	138	11	46	18	36	49	0	49	19	0	67
NM_001102438	3720	467	138	11	46	18	36	49	0	49	19	0	67
NM_001102444	4047	584	167	261	296	388	296	134	203	186	131	172	102
NM_001102446	1934	0	0	0	1	0	9	0	2	0	0	6	0
NM_001102455	3658	2067	1730	1491	799	591	754	346	624	560	440	406	894
NM_001102456	3526	2066	1730	1491	799	591	754	346	624	560	440	406	894
NM_001102457	868	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102458	5028	3686	2187	2010	604	771	211	358	564	692	402	569	1249
NM_001102468	719	31	0	4	31	3	457	3	2	0	0	191	1
NM_001102471	3264	42	257	3	10	51	53	37	153	1	12	51	51
NM_001102474	1444	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102563	2490	2	0	0	1	0	0	0	4	17	0	0	0
NM_001102565	1948	942	923	605	126	165	160	136	140	209	84	163	439
NM_001102578	2562	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102579	2556	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102580	2562	1	0	0	0	0	0	0	0	0	0	0	0
NM_001102581	2538	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102582	2385	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102584	2571	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102602	2553	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102607	7098	0	0	0	0	10	0	0	0	0	0	0	0
NM_001102611	3517	2	189	1	73	67	51	47	4	30	41	29	20
NM_001102613	2282	0	0	0	0	0	0	0	0	1	0	0	0
NM_001102615	3433	0	0	1	0	0	0	0	0	0	0	0	1
NM_001102650	1400	292	134	370	123	63	98	32	43	85	83	101	72
NM_001102660	870	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102662	1260	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102665	348	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102670	4489	863	91	13	50	57	3	62	177	24	86	26	189
NM_001102677	1131	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102677	1131	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102678	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102678	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102678	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102678	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102678	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102678	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102678	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102678	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102678	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102678	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102678	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001102678	907	0	0	0	0	0	0	0	0	0	0	0	0
NM_001103152	1339	0	0	0	0	0	0	0	0	0	0	0	0
NM_001103153	830	0	0	0	0	0	0	0	0	0	0	0	0
NM_001103156	10327	161	1	0	215	0	227	4	68	25	60	120	2
NM_001103157	10682	161	1	0	215	0	227	4	68	25	60	120	2
NM_001103158	3990	16	9	14	0	3	2	0	3	1	0	2	2
NM_001103162	4130	541	53	183	127	81	98	46	53	68	75	19	178
NM_001103165	2868	8090	7190	7322	2552	2011	1524	1228	2493	1931	1391	1392	2435
NM_001103166	2775	7839	6947	7157	2476	1975	1494	1204	2453	1889	1364	1362	2362
NM_001103168	1010	0	86	0	1	0	0	0	60	0	0	0	7
NM_001103171	11714	0	0	1	0	0	17	0	0	0	1	0	0
NM_001103177	6244	113	76	1	0	1	37	2	1	1	1	1	0
NM_001103178	5910	113	76	1	0	1	37	2	1	1	1	1	0
NM_001103179	7547	626	165	252	16	58	55	5	189	32	30	10	5
NM_001103181	8854	81	1	2	19	1	12	1	16	7	9	0	5
NM_001103182	2976	140	8	117	185	97	16	25	61	128	55	16	0
NM_001103199	3824	0	0	0	0	0	0	0	0	0	0	0	0
NM_001103200	3683	0	0	0	0	0	0	0	0	0	0	0	0
NM_001103365	2547	0	0	0	0	0	0	0	0	0	0	0	0
NM_001103366	2547	0	0	0	0	0	0	0	0	0	0	0	0
NM_001103367	2198	0	0	1	0	0	0	0	0	0	5	0	0
NM_001103368	2592	0	0	0	0	0	0	0	0	0	0	0	0
NM_001104525	1770	0	0	0	0	1	0	0	13	0	0	0	78
NM_001104529	3997	0	1	0	0	0	0	12	0	0	0	0	0
NM_001104530	2392	572	1579	1494	647	423	321	319	511	618	383	325	489
NM_001104531	1590	0	0	0	0	0	0	0	0	0	0	0	0
NM_001104537	2595	0	0	0	0	0	0	0	0	0	0	0	0
NM_001104539	2592	0	0	0	0	0	0	0	0	0	0	0	0
NM_001104540	2571	0	0	0	0	0	0	0	0	0	0	0	0
NM_001104541	2583	0	0	0	0	0	0	0	0	0	0	0	0
NM_001104542	2574	0	0	0	0	0	0	0	0	0	0	0	0
